,Commodity,price_info,full_name,price,price_units,Year,price_desc
153,Diamond (Industrial),Stones_Imports,Diamond (Industrial) Stones_Imports,8.4,dct,2020,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
154,Diamond (Industrial),Stones_Imports,Diamond (Industrial) Stones_Imports,12.0,dct,2021,"Stones, natural and synthetic: Price: Unit value of imports, dollars per carat. Data are estimated for the most recent year."
155,Diatomite,,Diatomite ,360,dt,2017,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
156,Diatomite,,Diatomite ,330,dt,2018,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
157,Diatomite,,Diatomite ,340,dt,2019,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
158,Diatomite,,Diatomite ,330,dt,2020,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
159,Diatomite,,Diatomite ,330,dt,2021,"Price: Average value, f.o.b. plant, dollars per ton. Data are estimated for the most recent year."
160,Feldspar and Nepheline Syenite,Feldspar,Feldspar and Nepheline Syenite Feldspar,62,dt,2017,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
161,Feldspar and Nepheline Syenite,Feldspar,Feldspar and Nepheline Syenite Feldspar,97,dt,2018,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
162,Feldspar and Nepheline Syenite,Feldspar,Feldspar and Nepheline Syenite Feldspar,107,dt,2019,"Price, average value, dollars per ton: Feldspar only, marketable production. Data are estimated for the most recent year."
